Semester Admitted,Department,Major,id,Taken,Class,Type,Taken_Semester,Taken_Year,Admitted_Semester,Admitted_Year,Taken_Num,Admitted_Num
Fall 2019,Electrical Engineering,Electrical Engineering,813,Fall 2019,CSCI101,Pass,Fall,2019,Fall,2019,8079,8079
Fall 2019,Electrical Engineering,Electrical Engineering,815,Fall 2019,CSCI101,Pass,Fall,2019,Fall,2019,8079,8079
Fall 2019,Metallurgical & Materials Eng,Metallurgical & Materials Eng,818,Fall 2019,CSCI101,Pass,Fall,2019,Fall,2019,8079,8079
Fall 2019,Applied Math & Statistics,Statistics,821,Spring 2020,CSCI101,Pass,Spring,2020,Fall,2019,8080,8079
Fall 2019,Applied Math & Statistics,Computational & Applied Math,822,Fall 2019,CSCI101,Pass,Fall,2019,Fall,2019,8079,8079
Fall 2019,Mechanical Engineering,Mechanical Engineering,823,Spring 2020,CSCI101,Pass,Spring,2020,Fall,2019,8080,8079
Fall 2019,Physics,Engineering Physics,824,Spring 2020,CSCI101,Pass,Spring,2020,Fall,2019,8080,8079
Fall 2019,Physics,Quantum Engineering,825,Spring 2020,CSCI101,Pass,Spring,2020,Fall,2019,8080,8079
Fall 2019,Mechanical Engineering,Mechanical Engineering,828,Fall 2019,CSCI101,Pass,Fall,2019,Fall,2019,8079,8079
Fall 2019,Applied Math & Statistics,Computational & Applied Math,829,Spring 2020,CSCI101,Pass,Spring,2020,Fall,2019,8080,8079
Fall 2019,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,830,Fall 2019,CSCI101,Pass,Fall,2019,Fall,2019,8079,8079
Fall 2019,Mechanical Engineering,Mechanical Engineering,831,Fall 2019,CSCI101,Pass,Fall,2019,Fall,2019,8079,8079
Fall 2019,Mechanical Engineering,Mechanical Engineering,832,Spring 2020,CSCI101,Pass,Spring,2020,Fall,2019,8080,8079
Fall 2019,Computer Science,Computer Science,839,Spring 2020,CSCI101,Pass,Spring,2020,Fall,2019,8080,8079
Fall 2020,Electrical Engineering,Electrical Engineering,876,Spring 2021,CSCI101,Pass,Spring,2021,Fall,2020,8084,8083
Fall 2020,Electrical Engineering,EE-Info Sys & Science Spclty,879,Spring 2022,CSCI101,Pass,Spring,2022,Fall,2020,8088,8083
Fall 2020,Electrical Engineering,Electrical Engineering,883,Fall 2021,CSCI101,Pass,Fall,2021,Fall,2020,8087,8083
Fall 2020,Electrical Engineering,EE-Engy & Pwr Electrncs Spclty,885,Fall 2022,CSCI101,Pass,Fall,2022,Fall,2020,8091,8083
Fall 2020,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,887,Spring 2021,CSCI101,Pass,Spring,2021,Fall,2020,8084,8083
Fall 2020,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,889,Fall 2021,CSCI101,Pass,Fall,2021,Fall,2020,8087,8083
Fall 2020,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,890,Fall 2021,CSCI101,Pass,Fall,2021,Fall,2020,8087,8083
